Hel_sanat_nimissä,Hel_määrä,Vnt_sanat_nimissä,Vnt_määrä
mäen,82,mäen,85
saaren,70,kallion,33
lahden,53,miehen,18
niemen,48,niityn,18
pellon,44,vuoren,17
miehen,37,kylän,16
suon,33,Koivu,15
kiven,28,kiven,14
kylän,19,koivun,13
kallion,18,Raja,10
niityn,17,suon,10
vuoren,17,puiston,9
Meri,16,korven,9
myllyn,14,Pelto,8
Koti,13,Sini,8
salmen,13,Kallio,8
Linnan,13,Joki,8
linnan,12,Metsä,8
Kivi,12,kukan,8
mestarin,12,Mylly,7
Itä,11,tähden,7
tekijän,11,Suo,7
Mylly,11,Kivi,7
ajan,11,kummun,7
pojan,10,pellon,6
kosken,10,Puna,6
tähden,10,Simon,6
Laiva,9,lehdon,6
rannan,9,Lähde,6
Kylä,9,laakson,6
Joki,9,niemen,6
Maa,9,Pikku,5
sepän,9,Hiiri,5
Silta,8,rinteen,5
tunturin,8,Aisa,5
sillan,8,Vantaan,5
harjun,8,Kurki,5
haan,8,Lehti,5
metsän,8,sillan,5
Hieta,8,Koti,5
maan,8,Vesi,5
Vesi,8,haan,5
kartanon,7,Ranta,5
tuvan,7,Kalkki,5
Haapa,7,Mäki,5
Ison,7,kellon,5
Palo,7,pakan,5
Karhu,7,Maa,5
paaden,7,järven,5
Raja,7,ojan,4
Vaski,7,iityn,4
Heinä,7,Leppä,4
perhosen,7,Hiekka,4
Kallio,7,Puro,4
orpan,7,Heinä,4
Kylän,6,Kuusi,4
Riihi,6,ityn,4
Aurinko,6,Vero,4
iityn,6,Kierto,4
Kauppa,6,Laaja,4
Kuusi,6,metsän,4
huhdan,6,Honka,4
kunnan,6,Vuori,4
kukan,6,Lehto,4
radan,6,Kalmarin,4
Etelä,6,Haka,4
padon,6,tuulen,4
Mustan,6,joen,4
Mänty,6,Mänty,4
Haka,6,Kelta,4
Laurin,6,Länsi,4
Pohjois,6,Harmaa,4
Ylä,6,Härkä,4
Pikku,6,kosken,4
luodon,6,vuokon,4
herran,5,Ruusu,4
Tulli,5,radan,4
Kaivo,5,Meri,4
vartijan,5,Koi,3
Malmin,5,Väli,3
Hiiden,5,harjun,3
Paasi,5,Santa,3
Kalkki,5,Uuden,3
Hopea,5,Kesä,3
Väli,5,Karhu,3
Ormus,5,Kehä,3
Länsi,5,Mesi,3
ityn,5,Murto,3
Teeri,5,Kuu,3
Tukki,5,Saha,3
Niitty,5,Havu,3
Mäki,5,maan,3
Lapin,5,Kuha,3
sataman,5,Teeri,3
Vuori,5,ruohon,3
Verkko,5,Martin,3
tehtaan,5,Aurinko,3
Saha,5,Uusi,3
Viikin,5,Lehmus,3
salon,5,vaaran,3
