nimi_suomi,laji,laji_selite
Huvilavahdinkuja,"1",Katu
Aamitie,"1",Katu
Agroksenkuja,"1",Katu
Ala-Tikkurilantie,"1",Katu
Annalantie,"1",Katu
Argelanderintie,"1",Katu
Betlehemintie,"1",Katu
Hanasaarenkatu,"1",Katu
Disankatu,"1",Katu
Fahlanderin puistokuja,"1",Katu
Fallintie,"1",Katu
Furuborginkatu,"1",Katu
Haakoninlahdenkatu,"1",Katu
Isonnevanpolku,"1",Katu
Itätuulenpolku,"1",Katu
Itälinnakkeentie,"1",Katu
Junatie,"1",Katu
Kaartinkuja,"1",Katu
Kaivohuoneenrinne,"1",Katu
Kivihiilenkatu,"1",Katu
Kapteenintie,"1",Katu
Ilmalanreuna,"1",Katu
Ilmalanrinne,"3",Katu
Lähetinkatu,"1",Katu
Melkinlaituri,"1",Katu
Kämnerinpolku,"1",Katu
Laamannintie,"1",Katu
Lapinlahdenpolku,"1",Katu
Lemissaarentie,"1",Katu
Lokikirja,"1",Katu
Linnanpajankuja,"1",Katu
Oopperankuja,"1",Katu
Paasirinne,"1",Katu
Pahkatie,"1",Katu
Pellervonkuja,"1",Katu
Raidekuja,"1",Katu
Rajaveräjänkuja,"1",Katu
Pikkuniementie,"1",Katu
Pojamankatu,"1",Katu
Pohjoisreimarintie,"1",Katu
Postisoudunkatu,"1",Katu
Miilumäenpolku,"3",Katu
Munkkirinne,"1",Katu
Munkkisaarenlaituri,"1",Katu
Muurimestarintie,"1",Katu
Myllymestarintie,"1",Katu
Myrskylänkuja,"1",Katu
Nokiankuja,"1",Katu
Takomokuja,"1",Katu
Tankomäenkatu,"1",Katu
Tankomäenkuja,"1",Katu
Tankomäenrinne,"1",Katu
Tammikuja,"1",Katu
Tapaninkyläntie,"1",Katu
Tikkuritie,"1",Katu
Topeliuksentie,"1",Katu
Torpankuja,"1",Katu
Ropokuja,"1",Katu
Ruosilanmutka,"1",Katu
Ruutanatie,"1",Katu
Saaristolaivastonkatu,"1",Katu
Sakarinkuja,"1",Katu
Sakarintie,"1",Katu
Saukonkatu,"1",Katu
Siltalanpolku,"1",Katu
Sipoonkuja,"1",Katu
Stadionpolku,"1",Katu
Stansvikintie,"1",Katu
Strandmaninlenkki,"1",Katu
Susikuja,"1",Katu
Sysmänkuja,"1",Katu
Särkkäniemi,"1",Katu
Säterinmutka,"1",Katu
Varhelansilta,"1",Katu
Vaskisalmentie,"1",Katu
Verkkosaarenranta,"1",Katu
Venekuja,"1",Katu
Venemestarinkuja,"1",Katu
Traverssikuja,"1",Katu
Puutarhurinkuja,"1",Katu
Kotinummenkuja,"1",Katu
Porthaninrinne,"1",Katu
Sinikaislankuja,"1",Katu
Hinnerjoentie,"1",Katu
Sampo Lappalaisen katu,"1",Katu
Ruusuhelmenkatu,"1",Katu
Iiluodonpiha,"1",Katu
Hangonkatu,"1",Katu
Matalasalmenkuja,"1",Katu
Bergbominkuja,"1",Katu
Kehruukuja,"1",Katu
Käräjätuvankuja,"1",Katu
Pitäjänkuja,"1",Katu
Mustarastaankuja,"1",Katu
Inarinkuja,"1",Katu
Tammisaarenkatu,"1",Katu
Rusokkikuja,"1",Katu
Pikku-Pässin kuja,"1",Katu
Pohjoinen Stadiontie,"1",Katu
Villiruusunkuja,"1",Katu
Neitojenranta,"1",Katu
Iso Puistotie,"1",Katu
Hannanportti,"1",Katu
Ulvilankuja,"1",Katu
Ilmatorjuntakuja,"1",Katu
Latokartanonsilmukka,"1",Katu
Väylänsuu,"1",Katu
Köyliöntie,"1",Katu
Erik Tulindbergin kuja,"1",Katu
Niinisaarentie,"1",Katu
